,Berridale_Australia,Berridale_Australia,Cheyenne_WY,Cheyenne_WY,ElReno_OK,ElReno_OK,EPS,EPS,EspinilhoFarm,EspinilhoFarm,Fargo_ND,Fargo_ND,Farmington_GA,Farmington_GA,Kamloops_BC,Kamloops_BC,Mandan_ND,Mandan_ND,MilesCity_MT,MilesCity_MT,Sandhills,Sandhills,SwiftCurrent_Canada,SwiftCurrent_Canada,Wambiana_Australia,Wambiana_Australia,Xilingol,Xilingol,Ceplac,Ceplac,Lusignan,Lusignan,MouraFarm,MouraFarm,NoCo,NoCo
,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST,S1,ST
DEC3(2),0.0087981345,0.009287655,0.00086756604,0.005195558,0.00022740042,0.0039236546,0.0010113632,0.0025316477,0.0012264998,0.003544569,0.0051496546,0.008300245,0.0023470635,0.0041702986,9.336601e-05,0.0010769367,0.00030646962,0.0016226172,4.5325163e-05,0.0022030473,0.0005933027,0.006168008,0.005259053,0.0074234605,0.0041099605,0.0051481724,0.19296761,0.35878408,0.0013521396,0.002326548,0.0035508038,0.0044800043,0.00091984356,0.008533359,0.09087955,0.10264814
DEC4,0.00012393936,0.00042784214,0.0013574711,0.009977043,0.00015057735,0.013817072,0.002192009,0.0042474866,0.0004759694,0.0023402572,0.00020732282,0.0010527968,0.0031366989,0.0050904155,0.00012950909,0.0013093948,0.00013173444,0.003502667,3.0267822e-05,0.0009788275,0.00079219573,0.0061246157,9.267957e-06,0.0004387498,8.486959e-05,0.00094360113,4.090239e-05,0.0017784238,0.001594263,0.0026459098,0.0011679631,0.0019512773,5.933366e-05,0.002766192,0.0004864835,0.0011540651
DEC5(2),0.0071199154,0.009539068,0.013960616,0.25995213,0.06894056,0.3101055,0.12007606,0.16321635,0.13654408,0.19890952,0.045770165,0.08440453,0.13368736,0.16208977,0.09514883,0.11570257,0.10158965,0.12602538,0.07597498,0.09303594,0.11422136,0.24716681,0.03029674,0.035597682,0.12439439,0.13653934,0.0065447562,0.11788154,0.09233082,0.103527546,0.08418138,0.100073695,0.10591164,0.16670877,0.018809509,0.03493035
FBM,0.0022715984,0.0026953816,0.004311149,0.011013508,0.00012030746,0.0068104863,0.0050115897,0.007845283,0.00016159806,0.0016679764,0.0018803832,0.0059560537,0.008323181,0.01009196,2.326278e-05,0.0017699599,0.0002728687,0.0019238591,0.00029373597,0.00258559,0.0020302795,0.006246507,0.0010887093,0.0020852685,0.002309668,0.0036903024,0.04589469,0.16044378,0.008834501,0.010036707,0.0021805954,0.0037312508,0.0008098532,0.0041978955,0.06484148,0.078140795
FHP,0.019066855,0.023750603,0.14244656,0.7903328,0.32806286,0.8319816,0.47597682,0.5581291,0.36988667,0.48876643,0.096707135,0.16712195,0.5028545,0.5672295,0.27210328,0.3682649,0.44831824,0.5107013,0.24625106,0.27335143,0.41340187,0.67138493,0.11093641,0.13588083,0.36700714,0.38642234,0.017288521,0.26283902,0.3518102,0.3740251,0.22458342,0.2527913,0.3962796,0.5727776,0.12163237,0.17261845
P1CO2A(2),0.02025789,0.022172868,0.016844612,0.06260532,0.0016385557,0.034093022,0.041957337,0.046667397,0.019928686,0.027528048,0.07039864,0.07713759,0.07557158,0.077460885,0.04152678,0.04523474,0.072078966,0.07367045,0.0468036,0.047576725,0.046422847,0.101824045,0.04774012,0.055188894,0.10095702,0.10195851,0.016965458,0.22093427,0.107424416,0.10961264,0.11918579,0.12508774,0.029187007,0.046989024,0.1764913,0.20404637
P1CO2B(2),0.005131272,0.005835533,0.009385081,0.060008526,0.00038835744,0.0073407292,0.018059108,0.019822657,0.0011784832,0.0024182796,0.03571479,0.040676117,0.03361303,0.034777045,0.011783055,0.012916803,0.0072362265,0.007932425,0.0073870695,0.0077365637,0.04779549,0.10430086,0.0069624246,0.008510828,0.054336295,0.055097282,0.0020805951,0.0705595,0.112155825,0.114868045,0.0031186342,0.0040460825,0.00040046813,0.0015806556,0.044837497,0.05059868
P2CO2(2),0.0018875832,0.0025068521,0.0029572211,0.018163025,0.030239968,0.1645571,0.018290244,0.022818565,0.031741925,0.04806292,0.0042960593,0.007734239,0.033225533,0.039016783,0.0122498935,0.01503855,0.11090519,0.12136328,0.010933763,0.0123749375,0.003108667,0.009348512,0.008884194,0.011031508,0.015913796,0.01705885,0.00020670486,0.00486809,0.012199247,0.013626039,0.094092496,0.10894513,0.07184088,0.10683519,0.02218008,0.023640037
P3CO2,1.1670868e-06,0.00033330917,7.1342416e-05,0.0014465451,7.2731204e-06,0.0024924874,4.8358004e-05,0.00067585707,0.0001285448,0.00056165457,3.268339e-05,0.0009896159,9.347346e-05,0.00062823296,3.0952484e-05,0.00038826466,0.0004223114,0.0012876391,7.770018e-05,0.00038659573,3.8442254e-06,0.0038132071,4.9495207e-05,0.00046122074,7.364644e-05,0.0005296469,2.8996443e-05,0.0066977143,3.7750022e-05,0.0006788373,9.098871e-05,0.0009976625,4.294506e-05,0.0012953281,0.0002228837,0.0013346076
PMCO2(1),0.003401514,0.0042620897,7.2117764e-05,0.0068113804,0.0001846554,0.002434671,0.0019631495,0.0028705597,0.0053774067,0.008383393,0.03830885,0.043895423,0.002229779,0.0027689934,0.0004874755,0.0010293722,0.013189475,0.014069498,0.004530944,0.004953325,1.0000571e-05,0.0016365051,0.0017607573,0.003988862,0.003913409,0.004662454,0.002455978,0.0051446557,0.027394122,0.027893543,0.048076753,0.050389588,4.3423797e-06,0.0007300973,0.0002702707,0.0022215247
PMCO2(2),0.10002534,0.10074407,0.007847624,0.025788724,0.0042577945,0.016336203,0.021328455,0.023348927,0.08380475,0.103486836,0.09636022,0.11656433,0.06129143,0.06333119,0.04698616,0.048643827,0.114264235,0.11585593,0.088658966,0.09077662,0.011586724,0.030665278,0.1451231,0.1529656,0.0916511,0.09313375,0.058324628,0.15873975,0.040795557,0.04243642,0.36462426,0.36667746,0.018376013,0.050003767,0.38933095,0.39479715
PS1CO2(2),0.0060548712,0.0066512823,0.0002541818,0.005642295,9.759509e-05,0.0032715201,0.0010623547,0.0014880896,0.008233838,0.011818409,0.0027391466,0.0047367215,0.0031928397,0.003965378,0.012660728,0.013754427,0.005624297,0.006330788,0.020514578,0.02118522,0.004777373,0.014733613,0.018624978,0.02076292,0.006224309,0.006877899,0.0004654293,0.012308955,0.00090802455,0.0014388561,0.010240831,0.011018634,0.024967127,0.030225098,0.005600877,0.0070652366
PS1S3(1),5.8823034e-06,0.0004273057,6.4619044e-06,0.0018424988,2.378472e-06,0.0018293262,1.2435819e-06,0.0003925562,1.0956548e-05,0.0009223223,5.0587896e-06,0.00090521574,2.3996333e-06,0.0005028844,2.6103125e-05,0.0004323721,7.113319e-06,0.0005878806,9.917319e-06,0.0005131364,3.5963526e-06,0.0013175011,1.8228977e-05,0.0007507801,2.3046116e-05,0.00066429377,9.003165e-06,0.004699886,7.0581045e-06,0.00067049265,3.5547318e-06,0.0007650256,3.314861e-06,0.0014128685,4.926193e-06,0.0008645654
PS1S3(2),4.1811354e-06,0.00044679642,7.410421e-05,0.0018770695,3.947698e-06,0.0015587211,2.9112805e-05,0.00063699484,3.224046e-05,0.0007029176,1.5363235e-05,0.00074231625,5.367989e-06,0.00047457218,2.815664e-05,0.0005687475,2.4200115e-05,0.0006610751,0.00015652899,0.0007033944,7.2550806e-06,0.0012499094,0.00016239581,0.00079619884,0.0003023343,0.0010409355,2.2898987e-06,0.0036627054,9.0274494e-07,0.0005878806,5.964067e-06,0.0009443164,5.939783e-06,0.0014407039,5.8329465e-06,0.001003325
TEFF(1),0.4938328,0.51015866,0.19703875,0.64596045,0.0636423,0.4198923,0.016163422,0.021805584,0.0059070555,0.019278526,0.0626565,0.08375436,0.14226082,0.18162066,0.092287846,0.12189102,0.27439055,0.31829804,0.09841821,0.106345594,0.019322399,0.04938364,0.15050152,0.15849566,0.005511713,0.0069965124,0.007940889,0.050938904,0.0025443113,0.0034350753,0.15378377,0.17841822,0.000102532984,0.001055479,0.1220158,0.19211507
TEFF(2),0.002187129,0.007103324,0.034798592,0.12048501,6.492657e-05,0.0099695325,0.006335812,0.009315968,0.003656912,0.007353127,0.0002531488,0.0025442243,0.00018469713,0.0024047494,0.00018700947,0.0061795115,0.009565343,0.011676431,5.7222438e-05,0.00080138445,0.00017230235,0.0014493465,0.00069045566,0.0034466982,0.0015051846,0.002276361,0.0026587835,0.008644044,0.0023468216,0.0038101077,9.888097e-06,0.0030159354,0.00044240296,0.0015188456,0.0028284602,0.00794673
WEFF(1),4.1329222e-05,0.000819087,3.57883e-05,0.0024552941,0.00347867,0.018617332,0.0010121055,0.0023624897,6.867494e-05,0.0014867187,1.260693e-05,0.0011273026,0.00057249604,0.00174582,2.1253325e-05,0.00034540892,0.011168844,0.013355434,6.015278e-05,0.0006940365,7.1999944e-05,0.0018418431,3.9408174e-06,0.00071054697,0.000951019,0.0016210079,0.0001563565,0.0110394955,0.001907235,0.003014505,0.0005293718,0.0019413233,0.0010768452,0.0034050345,0.0049653035,0.0077387094
WEFF(2),0.008463542,0.010274887,0.0027898266,0.039484084,0.037011202,0.33949143,0.050037123,0.06982523,0.0046563456,0.009971917,0.00067119265,0.017270446,0.038229488,0.04851073,0.0009590771,0.008405983,0.24190408,0.2778203,0.006989099,0.019407451,0.0059986915,0.018526495,0.0024757567,0.009200156,0.043807864,0.051435888,0.06265638,0.33968592,0.05640384,0.06314194,0.029203273,0.035864353,0.016084732,0.04547316,0.20951487,0.26688904
